,1,2,3,4,5
81,12026,19397,17445,16834,10383
82,1592,10457,3371,4792,1971
83,16353,11763,4299,8947,6263
84,10730,6718,1761,6060,16475
85,14844,4508,7631,18356,10666
86,14564,16656,17566,1689,4848
87,3542,12473,7077,1005,12717
88,19917,17563,4022,3769,8047
89,14725,8473,18829,1233,430
90,4992,6186,18657,8842,1630
91,10626,16950,5885,9984,18072
92,8666,8665,4042,12279,14041
93,18914,16941,11120,17903,11724
94,3473,18177,17884,8648,9015
95,4020,1392,410,16398,17935
96,1155,16618,4555,18788,2582
97,1947,11892,11166,11872,17900
98,12593,8269,4995,9414,4895
99,15989,17075,7719,7640,10379
100,3690,19611,3576,1300,14485
101,4002,10582,14925,15675,17398
102,11860,19767,13083,6291,14832
103,5594,10836,4917,19932,8905
104,18077,10471,18826,8777,10438
105,16813,17167,168,13849,14725
106,6300,13183,14252,19365,6052
107,4497,1310,6585,1049,4139
108,1624,357,3775,2602,6970
109,484,18627,13461,7597,17564
110,18162,16146,13460,12931,10924
111,4676,19579,16684,16987,1360
112,11905,13563,9977,11998,7129
113,16133,11580,1067,16410,17283
114,1553,9543,18009,14511,7648
115,19026,4056,11973,11779,7183
116,13714,15254,10844,3939,4156
117,5578,4034,6871,14772,16088
118,944,3594,11604,6926,5799
119,11411,17088,13542,4234,10329
120,6140,16276,11738,8724,5412
121,8182,12750,3681,16674,17095
122,343,8701,12180,9082,19964
123,8953,17026,9274,6501,8311
124,17805,19123,8075,19694,1477
125,14211,218,1186,13817,9042
126,1463,19726,13253,15472,19904
127,2824,10224,19108,13091,18098
128,14259,1784,14511,19794,16927
129,13886,4911,17345,1908,12093
130,6648,8938,12084,13542,9153
131,6688,18822,1103,976,5976
132,10203,4522,5259,2238,1123
133,3004,4185,4636,16664,4943
134,4156,17091,18585,12455,8277
135,1890,7349,18881,18956,1942
136,5551,8175,18432,5610,13077
137,19267,4020,17256,8109,7959
138,2610,4958,13208,1481,15535
139,6558,6561,5761,3296,10995
140,14610,15243,4980,19759,4785
141,14408,2217,3142,997,12616
142,15651,11478,4077,12669,2207
143,5547,3765,12902,4085,503
144,12317,692,18212,8305,19858
145,17067,10280,3387,6389,928
146,11035,12597,6788,17476,3391
147,16130,3166,2578,32,16814
148,2493,18155,14443,7472,1979
149,10709,7667,10203,15680,14670
150,2482,1372,8691,3136,16812
151,4672,1199,8249,19269,11157
152,14020,18511,3237,16242,2067
153,8987,15304,6359,19805,4448
154,9329,15266,12972,1249,9776
155,9132,10047,13588,8586,17302
156,5617,10078,2313,251,1351
157,52,4890,11143,10304,19669
158,17212,7738,14717,4547,16058
159,7504,2694,4735,4047,16045
160,914,1775,7141,16436,9398
161,12690,13646,11057,4959,12661
162,17036,8290,7735,16703,5088
163,12218,17522,8677,8587,10869
164,9167,12622,5671,16626,3144
165,9500,3506,13859,15101,18530
166,17796,4736,13454,2709,8144
167,14451,288,19592,6489,11669
168,169,11542,19856,4102,19620
169,13102,4415,19343,8647,6713
170,1206,2631,16196,16937,11631
171,16433,6187,15483,4411,17353
172,688,16856,18357,7793,14262
173,14856,17377,5323,13949,1418
174,9083,5277,14241,7125,18428
175,4741,17840,12715,9737,24
176,756,18347,11462,4854,5073
177,5345,14478,14051,14602,13535
178,9466,6465,12190,12932,3688
179,11722,4436,2322,17686,17416
180,7645,10525,12246,17321,18823
181,3896,4214,5653,2350,441
182,19950,18151,14587,14107,9367
183,7903,16223,10875,2239,19466
184,4804,4741,10007,15115,3354
185,2991,10443,4973,7442,19192
186,12955,19027,11629,5452,4779
187,17537,7668,1646,7896,6700
188,15416,11646,15206,2085,6524
189,14715,11873,16801,9533,6333
190,504,5526,1946,1490,19489
191,3117,3672,9588,14138,4838
192,7490,6778,1540,7752,4580
193,17780,19900,14182,18196,19917
194,4085,5502,8168,18819,5098
195,12470,18142,6685,3900,14674
196,13954,2402,15704,1951,15530
197,17139,5009,124,17328,9831
198,7554,18703,17986,17539,1972
199,1866,12786,15431,16032,14476
200,18058,1346,15346,12009,14628
201,683,17778,11033,16973,18781
202,17942,11359,7438,15912,12911
203,8133,14983,15490,5917,1119
204,19550,824,6193,10337,3809
205,17633,15002,6648,3766,6967
206,16099,8794,15890,6378,8505
207,16983,440,453,8190,15189
208,13696,5873,8606,15342,19159
209,717,14785,4479,7538,17114
210,1344,12458,18518,9545,11045
211,16014,12673,8467,9506,6200
212,55,1576,1100,6289,17222
213,16090,193,4056,9415,17214
214,5581,12923,12925,15580,19390
215,6750,14263,1589,9223,9190
216,12910,14331,18593,19624,16532
217,13771,14279,9204,12043,17746
218,9779,9638,10728,7456,17774
219,2975,18710,1509,9596,6208
220,5426,8760,16257,4401,17549
221,4669,12581,16347,14269,17231
222,19427,7507,16470,6123,10891
223,2727,8128,8485,9482,10846
224,14370,18227,1712,15132,17309
225,18247,2112,6502,6624,18456
226,11162,14966,14405,73,12501
227,5361,7403,19349,2634,10912
228,12688,7975,8795,3497,3535
229,1737,10579,15639,17239,16318
230,3890,7845,4433,7033,11278
231,14877,18289,13535,17191,403
232,554,16738,9020,14386,13184
233,10453,17881,10106,3362,16336
234,6177,3772,706,7138,12593
235,11623,12505,6959,8146,4725
236,17444,6190,10083,11130,15151
237,6156,764,12020,3513,19148
238,5520,10378,11127,8299,4925
239,5504,5825,18401,7906,893
240,6810,18874,873,6972,11907
241,4144,854,3615,15225,12494
242,16323,9204,17962,14689,1641
243,3841,15019,18653,10348,10429
244,13756,11678,15113,570,2760
245,10676,17216,12397,19678,8286
246,9788,6430,11114,15600,1684
247,4874,12091,13309,5005,10789
248,6055,4674,5815,11055,3011
249,11029,5081,2079,10814,2044
250,2833,13665,16996,11716,5301
251,11830,5282,4275,8315,9521
252,13536,11151,6600,13056,13956
253,11232,1434,2918,10745,2200
254,12391,17382,17894,10098,16641
255,11190,2854,774,2460,10343
256,19432,5839,17470,6301,4066
257,881,1110,18788,3563,3103
258,1141,11812,12660,3807,5888
259,18598,6680,18479,6873,1130
260,14680,16189,8317,16718,722
261,13394,10245,11139,2316,19161
262,4653,11324,16724,5841,5881
263,8602,15296,13673,9611,12166
264,8484,2394,9337,4402,14397
265,7383,12157,5955,19607,10039
266,16281,255,14602,4310,17830
267,7736,14332,7630,6780,10928
268,16684,8280,715,8370,3697
269,1933,19721,13619,12231,15183
270,11326,17254,16454,4662,637
271,11725,5763,11871,5129,1313
272,13095,16030,15809,7421,15691
273,11523,12156,2475,1299,3042
274,9995,6923,9447,8743,19230
275,5089,13475,2190,9446,14774
276,16200,4605,3613,7690,13538
277,14664,87,9562,12943,16654
278,228,12245,5478,9454,16183
279,790,7634,9102,19745,15279
280,13606,5338,4157,938,8240
281,6623,7343,16180,6850,15826
282,12931,2747,8035,19567,2142
283,11971,14621,6698,10937,15239
284,4970,8039,3353,14929,8720
285,4409,14804,2621,18311,15023
286,3772,18768,18243,3033,5494
287,11999,11776,9628,3800,1305
288,15231,6384,7239,14224,11094
289,11788,4695,8896,15543,13898
290,17768,12468,13018,3289,9258
291,12272,11386,10866,76,5510
292,12291,10509,15956,4905,2712
293,5195,6492,10139,3861,18558
294,161,15029,15705,5252,14215
295,18540,7981,10493,6277,3648
296,1257,15200,15338,10401,17565
297,8821,4643,3585,18488,9844
298,18188,8081,10607,10788,206
299,3775,14064,16669,12776,15368
300,5850,9421,10800,9746,4710
301,7414,17066,9766,5186,3515
302,2754,13939,8196,11555,5823
303,9250,11563,9778,11830,3433
304,18859,3919,17902,8926,18721
305,1712,4856,8722,14901,13811
306,4243,4202,3538,13628,14182
307,10751,12848,2111,607,14856
308,13670,18192,2855,16714,17541
309,5057,7164,4647,16621,12393
310,17570,265,11268,18446,12373
311,14409,2649,3296,6859,12299
312,14412,15513,812,2470,19922
313,7175,9949,19818,7642,10785
314,6439,18291,5486,1130,16665
315,12750,11011,8488,12609,269
316,5980,2294,87,18454,15959
317,6667,4019,10841,15070,5199
318,9762,3151,15444,1453,17553
319,10420,15961,16864,10725,209
320,3195,13852,8433,1863,16287
321,7100,5462,2637,14516,14304
322,13541,2811,1658,8381,2113
323,448,5447,1444,15279,12414
324,5658,59,4237,17271,1196
325,18007,3348,18532,19499,2414
326,6264,2003,5351,3375,12542
327,19761,6876,12164,6100,9259
328,11889,7396,10030,5907,9940
329,14993,15095,15391,15275,13115
330,11199,5096,13231,14279,11944
331,12916,2590,1130,14234,818
332,2144,8185,11498,5800,579
333,10428,15073,3825,13698,1890
334,16092,8899,4074,168,17482
335,6389,6588,2041,15831,17308
336,9985,13361,17128,19830,3884
337,8894,5455,13736,716,18452
338,8237,11938,19829,820,7146
339,7820,14818,18516,6909,7123
340,6804,14252,13930,18879,2847
341,15129,3664,11716,6805,9269
342,19108,6301,10630,10430,19901
343,18564,6087,2063,17461,12004
344,6378,15128,12042,1459,7560
345,16318,5402,5888,19517,11552
346,1212,9902,11032,15398,14285
347,992,13071,15288,10474,9365
348,13805,773,19466,7173,15925
349,13242,5435,4928,12432,651
350,2759,16624,2292,4740,1695
351,8129,1746,13,4408,14563
352,14323,63,18652,9774,9475
353,3802,12062,15221,18671,19595
354,15005,16902,3216,10647,15674
355,137,6084,3118,16810,10413
356,18049,17426,8681,7816,3293
357,17145,16579,5194,5288,9937
358,8241,2135,8576,1359,19643
359,3255,11452,6333,14951,17040
360,8755,2939,16018,14931,15947
361,5905,12455,14106,7371,2102
362,11465,17056,9694,2789,15528
363,17052,5054,830,17250,3782
364,9096,3080,10456,5795,8699
365,18575,7089,8765,369,17274
366,15897,11077,640,13973,17253
367,4109,6590,12259,11412,12506
368,425,10040,10422,9249,13422
369,15100,16123,15528,475,373
370,3294,9494,16714,7117,13514
371,14405,10293,8387,19305,18449
372,5967,11410,4122,17352,14151
373,5921,7496,18968,5975,7006
374,17724,17364,1592,10128,5635
375,9711,4359,12811,14376,9407
376,677,8480,5206,12551,12570
377,19970,8326,10862,18072,4840
378,13832,11162,8831,4564,10449
379,5955,2945,5968,1172,11731
380,8142,12002,19940,5542,7764
381,17306,13323,6881,3157,18130
382,5344,10996,15071,16245,12701
383,11456,1745,12498,3003,16022
384,19844,13794,5696,5465,6213
385,12939,2379,3545,9158,19428
386,7220,10829,5269,11218,13056
387,19464,4501,17656,11217,14448
388,2231,17111,9954,798,7187
389,8907,2482,449,12012,885
390,5635,17824,3943,8554,3302
391,1776,16432,5284,9583,11818
392,19673,6312,13022,19543,6685
393,9219,2687,3785,15999,736
394,2294,4244,2679,1257,9899
395,1014,14187,13791,5393,19815
396,15377,4357,14567,19275,14658
397,15214,649,13123,11442,13834
398,11419,16269,16166,1224,12177
399,2161,15419,3786,12718,3396
400,605,2869,9004,6037,18138
401,3936,4607,19083,14836,5484
402,17515,11786,11375,2223,7302
403,9874,104,9329,9207,12604
404,2530,722,13996,5332,19977
405,684,1930,736,7439,7155
406,10057,4466,9170,7827,1126
407,11395,8059,17121,7616,17024
408,1409,806,11254,12120,14121
409,17385,3012,12948,5778,5592
410,5638,1662,6967,12692,15795
411,8147,17722,178,936,17434
412,14210,9742,2960,11819,8354
413,1667,9335,2391,13824,11008
414,16995,596,5335,10730,12751
415,39,19908,261,14374,5550
416,537,15868,11680,10095,14394
417,14980,19460,6042,2929,19843
418,9064,18992,19510,2672,3102
419,11269,7322,12546,8041,10086
420,6748,11897,19508,9041,9610
421,7472,7441,10722,5717,8831
422,12047,15134,5850,19205,10921
423,9939,11035,11976,14117,69
424,5024,16611,18405,16823,17177
425,4859,10020,10604,15000,3443
426,12518,19796,18616,3596,10677
427,5769,4120,11510,7060,2600
428,13876,512,18533,720,13657
429,2020,5132,195,13760,7514
430,14579,3486,6936,12368,15604
431,16242,2406,19216,19986,6560
432,11222,5892,15961,15670,2438
433,9725,10041,1785,9150,11674
434,15516,9943,17556,9728,15289
435,2949,13426,19659,5953,19339
436,16798,14948,9948,11876,12621
437,7525,14490,6642,15389,18123
438,18470,2657,15881,7594,1934
439,5979,13251,849,8861,4015
440,12818,14446,1034,19818,72
441,16984,14833,16285,13202,14228
442,18138,18441,7113,15010,12260
443,17553,17719,9751,18664,7136
444,14608,10221,11111,17406,8876
445,1554,16836,9299,13394,18955
446,620,1026,16954,2086,15290
447,306,1034,12197,11234,12424
448,563,5908,3437,7653,7722
449,12462,5222,11043,17009,2340
450,15907,1114,19584,12041,2429
451,4853,10458,16741,16855,13350
452,8154,10972,13053,2027,10240
453,3810,8366,9645,19871,8154
454,909,8221,18176,9499,18517
455,7933,19867,8183,16237,10269
456,14990,13748,11609,17999,13311
457,9675,10449,15492,1229,4794
458,180,13290,6486,2777,6683
459,17114,19825,1892,15785,10210
460,1857,7152,1398,5885,15029
461,19114,379,11790,19159,6201
462,7754,1920,9027,17762,18913
463,5654,2440,9416,3339,4955
464,12856,12842,17192,4457,17415
465,14904,3000,5232,113,2664
466,11802,12704,9742,13688,1673
467,15117,10199,18613,14411,19116
468,6539,10630,2156,16393,12385
469,9664,4916,11315,15107,10107
470,6280,19492,14277,19026,4115
471,13209,5584,9483,12522,309
472,10988,12594,18932,3295,13515
473,19782,12665,5174,17118,17699
474,8069,17732,12766,2506,13965
475,16733,10474,15571,2112,4198
476,349,2335,7393,10504,13776
477,13937,2066,230,13731,14346
478,4561,2139,3465,7388,10537
479,13281,11518,3597,8925,7646
480,8384,8025,4075,9124,19684
481,15483,5060,1021,3220,4745
482,5022,4489,4696,5088,12349
483,6066,17328,4176,12150,13837
484,12586,7424,8283,2167,18937
485,10496,8217,17672,15097,7448
486,4164,10608,15364,4552,12244
487,12997,5461,6157,5939,18362
488,15058,6841,3475,11003,16142
489,906,16235,19001,13036,7800
490,17509,7321,9880,17951,1380
491,7442,5620,13685,19239,13037
492,3626,1429,17312,16814,12481
493,13545,17269,1426,13463,13629
494,6111,15968,11247,1499,5305
495,5631,3239,18934,3942,2986
496,3654,1318,11014,1947,2037
497,10692,1059,846,12370,1358
498,12877,7719,3037,1,12412
499,4034,2717,3449,2341,17105
500,6061,2722,2410,15195,3603
501,12412,19888,7646,15845,14026
502,11478,3434,18424,10965,12579
503,5784,8799,7369,13258,12298
504,871,19077,17258,6741,10817
505,6625,14485,17924,10142,11391
506,10462,3389,10567,16157,11264
507,7858,16494,13940,3913,17139
508,11872,1053,6584,14052,3960
509,8096,15670,14228,1900,7989
510,13476,10402,13931,12444,6218
511,17913,7074,8355,11711,11411
512,10703,9370,14424,18646,5793
513,2461,1810,12178,11449,9986
514,11647,14432,10612,17919,4852
515,16482,6884,3544,29,5669
516,15962,11658,6432,16448,18129
517,12473,6212,4510,8438,15114
518,386,343,10260,9273,11826
519,2506,15060,3580,18701,17787
520,17022,8392,6671,6825,15996
521,7460,5417,16774,13424,16210
522,15141,5499,18438,10794,15390
523,280,7140,6828,6477,18404
524,16958,5933,12448,3255,2204
525,1650,6879,11308,18791,18290
526,6434,13610,2491,4020,19730
527,15775,4390,13235,18716,14965
528,7228,5696,11974,17405,19112
529,14919,10086,14732,4842,4275
530,9291,19657,13534,569,19578
531,19424,4458,11509,6705,13504
532,13833,7108,14791,9255,1365
533,3492,6497,19909,16490,3578
534,16886,14257,9779,13765,19231
535,7768,19320,12934,16462,16839
536,15486,18375,3787,14341,15889
537,8079,13392,11870,1978,3662
538,10599,18635,1159,8219,17317
539,11576,6272,17172,4186,2586
540,4705,8387,18072,5379,7405
541,12296,6305,3009,8162,14632
542,7781,19898,7455,6418,16276
543,911,16951,12148,6144,4286
544,19991,17516,12840,19734,8093
545,3807,14852,16147,6986,16015
546,19207,2118,8292,16107,13375
547,16963,14041,10179,13474,8621
548,17197,4158,3690,2955,14166
549,7819,12147,19747,7990,17944
550,6346,10195,9432,18182,11420
551,1622,2782,6004,15674,7623
552,10762,16581,7633,17737,10855
553,6716,16149,445,11315,7493
554,16279,11070,6965,17398,14785
555,4190,13153,5066,9356,11300
556,17438,19535,9406,13011,3346
557,5203,9084,11309,9667,11951
558,16815,7590,3755,10473,8239
559,12543,969,18928,14036,9075
560,13707,4046,18860,12410,18957
561,2616,13873,14335,49,14255
562,14518,3511,4530,9139,16244
563,8559,1356,19737,14267,10654
564,12105,14849,5505,7573,4810
565,16929,15784,10997,2275,9915
566,19322,6771,2150,16988,12216
567,13304,885,6863,8164,4419
568,3010,4974,12142,3042,12607
569,15527,3442,4047,19612,10680
570,7064,8199,19962,13673,11974
571,15561,3158,5308,3506,7635
572,9413,2777,15544,18270,16477
573,12572,8650,9959,16724,12153
574,12104,17023,10936,9664,8081
575,15244,2536,16136,3203,6725
576,9207,17928,2967,12259,12713
577,4639,9107,15143,3075,7613
578,9225,5637,16519,2057,15053
579,9269,1836,6489,7300,9193
580,18886,16392,15970,5257,16679
581,5120,7234,4897,832,5867
582,16185,19557,7713,4993,11745
583,10594,713,11504,2550,15662
584,16490,8496,4326,4678,3197
585,5871,1350,3358,13653,6515
586,11703,17183,8419,6205,16471
587,18508,13626,6441,19139,17234
588,3754,9801,5073,11271,13596
589,18338,11163,18013,11588,14880
590,7329,12552,5317,7124,13175
591,2614,18053,2148,11474,13086
592,3624,527,18193,2414,19487
593,12928,46,4822,9906,9233
594,2274,7714,14863,6769,6863
595,18502,2059,1796,15989,2393
596,12699,16075,13139,17100,9849
597,10238,2767,5033,12827,10262
598,5538,19671,2066,1981,11817
599,1445,10787,16749,18487,805
600,9345,9154,18196,2326,8022
601,687,1528,10577,12981,3397
602,7636,11148,1971,547,9053
603,1975,996,19292,3754,4427
604,7462,3001,14025,13115,7014
605,9580,5520,16991,15956,12719
606,11081,12083,475,8232,1710
607,7606,13471,16007,14124,11670
608,8914,15425,10957,1372,14569
609,12019,12090,7724,15855,9642
610,17274,2946,6425,11166,12857
611,167,18149,7381,9172,5978
612,3545,11704,8126,16331,19834
613,8271,10704,13522,13565,5748
614,8322,17368,14324,13767,463
615,12015,18380,7294,13776,18940
616,2220,4434,3988,16076,1429
617,13183,13936,6152,10780,17351
618,16623,12085,19409,8776,4997
619,1477,4254,3210,3366,14283
620,11466,5107,10505,6294,16250
621,9497,2092,9159,4773,7625
622,17411,14191,15152,14059,15614
623,15261,2629,13395,19755,8777
624,3486,15707,7533,12469,17763
625,5516,17205,358,9033,12339
626,1757,16104,7953,18189,16692
627,7981,14655,15168,11014,16643
628,13534,11305,14941,15006,15031
629,626,15094,4771,2427,2513
630,16740,17187,19024,10867,13623
631,15137,6943,8265,10887,12574
632,6720,16110,1642,10250,14816
633,4585,14314,13507,12006,11414
634,14562,9710,8138,8723,2526
635,9232,7142,19527,1825,6421
636,15024,2122,4836,711,14516
637,15170,10250,5592,12298,2150
638,5834,9083,1641,15508,15469
639,5937,12463,15234,19436,14063
640,15947,247,12348,9141,11715
641,16924,15682,19072,1960,16393
642,5457,1809,2857,19036,16511
643,5414,14560,502,4106,9077
644,19137,4230,16525,15804,8575
645,8833,3912,12077,9873,15785
646,12924,15761,13943,19822,11243
647,13907,19917,10089,16326,10395
648,18815,7259,14193,4255,18029
649,510,17687,17134,10606,5737
650,3422,13385,17408,19119,9280
651,15438,15791,15192,19220,9333
652,5083,13860,12770,12768,11072
653,5670,14744,2426,13330,7680
654,10060,8455,13232,5941,19797
655,1028,5994,19597,4026,15810
656,14244,15567,15949,14558,7038
657,139,452,1167,15723,2794
658,9178,15401,13977,11411,11754
659,17071,13344,7557,15535,19954
660,2333,8700,17538,10350,8294
661,8311,16525,2133,10376,2474
662,882,18044,8804,13786,1486
663,15385,1743,17482,10798,10307
664,17525,12167,9667,15003,353
665,66,13701,18433,13657,2086
666,12329,10596,3471,1550,10314
667,10132,12029,10691,14635,18276
668,6739,11911,17236,6448,67
669,17437,1511,4509,15083,18826
670,19268,12390,14883,4082,17403
671,13322,8195,5098,19238,106
672,4993,10456,9817,12549,17805
673,12358,17161,1860,6882,2130
674,1867,15045,7881,14458,13483
675,5911,16320,16639,11400,3438
676,13742,7311,15548,5367,4727
677,11062,2219,14313,15953,17811
678,16622,1257,228,444,3713
679,14129,1545,7412,14046,15669
680,7629,18916,296,13095,15683
681,13547,16349,4119,17788,17363
682,5296,9859,12379,11378,15264
683,7729,14682,14189,15891,14778
684,8305,2998,6744,15506,2160
685,11182,7661,11045,17365,12573
686,10430,10382,12334,5326,16638
687,14096,17326,7736,4252,9289
688,15984,18546,4764,4451,4751
689,14396,14917,12099,10825,13075
690,18866,3090,15556,11499,17430
691,5402,9270,7311,12434,13287
692,12707,10313,12152,8194,14659
693,16579,13297,14019,15399,14377
694,16465,7064,2571,3622,14331
695,10328,13438,3115,5097,3390
696,14287,8188,12121,12912,10813
697,2553,3734,17295,11325,5648
698,4035,8832,10643,13625,11647
699,3814,5495,9461,5804,5643
700,16972,18562,380,8294,12942
701,10050,11039,9,5949,16874
702,9111,6315,15145,18388,811
703,11485,2906,6386,6364,16110
704,8398,337,2775,3720,1462
705,15063,13357,10041,19342,19066
706,12585,3262,14887,13336,3176
707,12716,12111,7014,7155,19850
708,18618,42,3051,16134,11595
709,14153,14186,9518,16258,8999
710,1162,12441,7595,5218,1868
711,19846,9516,3818,3401,9225
712,6607,2164,15562,19964,11346
713,36,12721,6221,6017,12648
714,16753,3610,7925,7217,1752
715,8057,12964,10907,16479,14715
716,14167,7555,10708,10104,12638
717,13766,8878,944,18764,7652
718,3760,6991,11699,18410,17215
719,624,856,9332,11302,14578
720,12306,9920,9422,13636,8365
721,14137,12431,4420,6266,2835
722,4087,2244,16834,4118,19053
723,2896,15820,6961,19707,15125
724,9060,17494,1962,19699,11132
725,16096,2700,8912,17465,15534
726,13224,10054,12479,8217,11465
727,8025,2517,11313,3325,9138
728,6551,7891,19032,3699,17829
729,18368,8427,1385,18119,1732
730,17536,16406,2241,10995,1257
731,17960,9602,9606,7464,11804
732,3480,3161,16922,12584,18234
733,4562,5795,16582,11936,15730
734,13007,3787,12761,7086,7452
735,6881,17524,4898,14055,4523
736,9353,5112,1416,6915,6025
737,9828,4957,4909,19711,7589
738,2800,11744,14056,16413,2071
739,8827,18939,7516,6974,7910
740,18627,11674,13543,19006,18135
741,12484,7194,7563,92,1015
742,1076,12302,15014,4765,12171
743,1373,14367,8149,11079,1552
744,523,644,17033,8111,16706
745,1091,7392,19556,11662,678
746,12764,18920,18929,11972,15589
747,19959,8458,3577,11927,9026
748,4554,1506,2334,15164,9855
749,14871,16307,15321,982,1265
750,15441,13059,17671,800,19111
751,18665,18496,15195,6181,2834
752,11192,14724,340,19246,14378
753,15669,12268,17866,5725,3888
754,4575,3253,11534,6632,17298
755,10493,8716,3018,4702,5329
756,5326,10572,16695,13125,16104
757,9719,14828,13449,8226,15063
758,981,12105,11561,18390,2993
759,6356,16346,9309,6779,5406
760,347,13631,7121,12327,15822
761,6270,17701,8253,16906,8078
762,14146,2759,16260,5387,881
763,1685,9721,6532,12632,17019
764,14667,19372,13434,3245,7920
765,1278,11611,4039,13544,7505
766,7078,2429,17694,3307,6890
767,11862,16829,5489,12435,6744
768,17760,12388,15370,11655,8590
769,1188,3626,1847,14060,1274
770,16320,19480,2425,11773,2603
771,5221,11543,4964,15605,19733
772,11387,8682,7452,3885,13488
773,12975,2119,2466,16297,13680
774,7264,5453,412,7969,19295
775,17353,5847,9654,9845,9626
776,2500,5628,10454,7148,10345
777,1496,16990,17642,12646,15575
778,7327,9108,8098,16658,878
779,14079,16809,4297,11425,15470
780,10377,9309,3346,3270,19141
781,3285,15378,8137,15453,2626
782,3748,8735,1891,910,11472
783,18552,19298,2281,2336,2114
784,8045,5797,9597,12778,3683
785,4695,3314,10575,17918,1047
786,9055,17100,3356,15797,275
787,7159,7328,7731,13144,13806
788,1349,12364,4903,15925,9436
789,6323,501,17906,12080,8768
790,4786,3618,983,14217,1362
791,3560,4583,8062,4233,12546
792,18949,7901,18388,1184,17171
793,10137,18458,18910,12876,2017
794,4032,6328,10556,6497,8600
795,17144,15456,11210,12479,5187
796,16299,16602,11618,12847,4206
797,9949,14181,9261,14393,12639
798,14986,19119,7998,2604,8511
799,7255,16786,12676,13071,9322
800,7053,15734,3952,17016,6711
801,4375,1413,5311,13179,10049
802,11598,7094,12086,17430,1150
803,16766,19835,3003,1188,17975
804,2873,19608,12301,17000,18586
805,2592,7568,17335,2375,16842
806,9150,4460,9042,17054,7846
807,1701,7524,265,6331,2640
808,11392,13749,6903,19833,18755
809,7285,2453,1349,3621,12998
810,4273,13054,11338,10857,12162
811,16776,10136,4270,5659,8209
812,7502,7068,355,5592,18320
813,19098,9021,5198,17758,224
814,13897,16108,525,13222,3650
815,11505,13935,13614,7200,12958
816,14574,19336,8549,17375,6912
817,954,13241,7480,16362,15533
818,17402,18071,10104,9443,5219
819,15032,19210,13158,19134,11875
820,13149,15674,17851,2912,2391
821,12129,9080,4905,9517,222
822,6113,14528,19406,7633,14042
823,937,6040,3959,8851,8461
824,6563,8205,15381,2143,13440
825,11504,18803,7494,9701,2233
826,3090,4584,9259,625,6345
827,14594,5957,2439,14800,7255
828,2853,3335,8247,17176,10442
829,11172,13120,1219,1033,17567
830,6691,16557,16713,16330,13533
831,10119,14739,14021,880,917
832,10005,17405,19655,12950,2746
833,11874,16433,18230,8118,8627
